,date,fake_merged,fake_merged_initiation,fake_merged_rt,fake_grinberg_initiation,fake_grinberg_rt,fake_grinberg_rb_initiation,fake_grinberg_rb_rt,fake_newsguard_initiation,fake_newsguard_rt,not_fake,not_fake_initiation,not_fake_rt,not_fake_conservative,not_fake_conservative_initiation,not_fake_conservative_rt,not_fake_liberal,not_fake_liberal_initiation,not_fake_liberal_rt,not_fake_shopping,not_fake_shopping_initiation,not_fake_shopping_rt,not_fake_sports,not_fake_sports_initiation,not_fake_sports_rt,n,nusers,subsets
0,2019-11-30,12.0,9.0,3.0,1.0,0.0,0.0,0.0,8.0,3.0,207.0,114.0,93.0,12.0,9.0,3.0,11.0,5.0,6.0,1.0,0.0,1.0,1.0,0.0,1.0,219.0,55,A_ha
1,2019-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6,A_la
2,2019-11-30,10.0,4.0,6.0,1.0,1.0,0.0,0.0,3.0,5.0,447.0,238.0,209.0,33.0,11.0,22.0,18.0,7.0,11.0,10.0,8.0,2.0,1.0,1.0,0.0,457.0,278,A_ma
3,2019-11-30,360.0,38.0,322.0,14.0,82.0,3.0,56.0,37.0,313.0,2892.0,832.0,2060.0,159.0,11.0,148.0,237.0,42.0,195.0,78.0,7.0,71.0,1.0,0.0,1.0,3252.0,674,D_ha
4,2019-11-30,3.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,29.0,17.0,12.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,14,D_la
5,2019-11-30,183.0,53.0,130.0,15.0,40.0,8.0,32.0,51.0,128.0,1405.0,673.0,732.0,83.0,38.0,45.0,67.0,9.0,58.0,24.0,8.0,16.0,3.0,1.0,2.0,1588.0,793,D_ma
6,2019-11-30,47.0,6.0,41.0,2.0,15.0,0.0,9.0,5.0,40.0,1527.0,375.0,1152.0,66.0,30.0,36.0,186.0,17.0,169.0,11.0,3.0,8.0,7.0,3.0,4.0,1574.0,497,F_ha
7,2019-11-30,10.0,9.0,1.0,2.0,0.0,0.0,0.0,9.0,1.0,136.0,62.0,74.0,9.0,8.0,1.0,11.0,1.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,146.0,84,F_la
8,2019-11-30,32.0,8.0,24.0,2.0,8.0,0.0,4.0,6.0,22.0,1690.0,733.0,957.0,41.0,16.0,25.0,173.0,50.0,123.0,22.0,20.0,2.0,1.0,0.0,1.0,1722.0,942,F_ma
9,2019-11-30,9.0,5.0,4.0,0.0,1.0,0.0,0.0,5.0,3.0,2619.0,1746.0,873.0,58.0,19.0,39.0,74.0,19.0,55.0,187.0,141.0,46.0,11.0,7.0,4.0,2628.0,633,nfns_ha
10,2019-11-30,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,1137.0,787.0,350.0,49.0,23.0,26.0,25.0,6.0,19.0,14.0,5.0,9.0,7.0,5.0,2.0,1140.0,710,nfns_la
11,2019-11-30,37.0,19.0,18.0,7.0,1.0,3.0,0.0,14.0,17.0,13585.0,9189.0,4396.0,474.0,205.0,269.0,398.0,126.0,272.0,288.0,198.0,90.0,42.0,18.0,24.0,13622.0,8750,nfns_ma
12,2019-11-30,130.0,41.0,89.0,31.0,43.0,29.0,29.0,40.0,82.0,308.0,125.0,183.0,37.0,5.0,32.0,10.0,8.0,2.0,5.0,0.0,5.0,0.0,0.0,0.0,438.0,69,suspended_ha
13,2019-11-30,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6,suspended_la
14,2019-11-30,19.0,9.0,10.0,3.0,3.0,1.0,3.0,9.0,10.0,60.0,35.0,25.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,32,suspended_ma
15,2019-12-01,37.0,21.0,16.0,13.0,7.0,1.0,2.0,13.0,12.0,1173.0,590.0,583.0,99.0,51.0,48.0,71.0,13.0,58.0,1.0,0.0,1.0,7.0,1.0,6.0,1210.0,136,A_ha
16,2019-12-01,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,51.0,29.0,22.0,2.0,0.0,2.0,2.0,0.0,2.0,6.0,0.0,6.0,0.0,0.0,0.0,52.0,31,A_la
17,2019-12-01,44.0,15.0,29.0,5.0,11.0,3.0,7.0,13.0,29.0,2037.0,1149.0,888.0,145.0,60.0,85.0,54.0,16.0,38.0,24.0,15.0,9.0,7.0,2.0,5.0,2081.0,874,A_ma
